TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,Sex,Trip,BirdID
122.3822748100,89583.0000000000,459.4185630400,31.0000000000,104.0000000000,1.0000000000,1.0000000000,173.0000000000
78.2966516800,56915.0000000000,188.9777661800,8.0000000000,37.0000000000,1.0000000000,1.0000000000,174.0000000000
161.1598160100,71506.0000000000,394.5135154500,11.0000000000,39.0000000000,0.0000000000,1.0000000000,175.0000000000
212.6617126700,98473.0000000000,543.1778575000,19.0000000000,106.0000000000,1.0000000000,1.0000000000,176.0000000000
164.6057285000,160091.0000000000,667.5528464100,13.0000000000,83.0000000000,1.0000000000,1.0000000000,177.0000000000
128.5025097000,86355.0000000000,466.5965782500,131.0000000000,600.0000000000,1.0000000000,1.0000000000,178.0000000000
211.0018835400,159545.0000000000,647.4529316500,12.0000000000,50.4000000000,0.0000000000,1.0000000000,179.0000000000
186.3060461900,103544.0000000000,474.1644739800,17.0000000000,61.9000000000,1.0000000000,1.0000000000,180.0000000000
123.4737821500,78052.0000000000,448.5360513700,6.0000000000,14.6000000000,0.0000000000,1.0000000000,181.0000000000
161.0370892500,80544.0000000000,552.5840858400,22.0000000000,104.0000000000,1.0000000000,1.0000000000,198.0000000000
223.6798860800,108596.0000000000,572.5584784100,15.0000000000,51.0000000000,1.0000000000,1.0000000000,199.0000000000
135.1148604200,89798.0000000000,367.3204794100,3.0000000000,49.0000000000,1.0000000000,1.0000000000,200.0000000000
157.0920170200,84044.0000000000,525.0189687800,23.0000000000,72.0000000000,0.0000000000,1.0000000000,201.0000000000
145.1310827700,71480.0000000000,337.6712935700,14.0000000000,79.0000000000,0.0000000000,1.0000000000,202.0000000000
237.8302321500,99040.0000000000,669.0815775000,27.0000000000,99.0000000000,0.0000000000,1.0000000000,203.0000000000
65.3875341200,55879.0000000000,210.3168870500,0.0000000000,0.0000000000,0.0000000000,1.0000000000,204.0000000000
243.9173913200,182268.0000000000,713.4357640400,32.0000000000,96.0000000000,1.0000000000,1.0000000000,205.0000000000
110.9340569800,149171.0000000000,715.4556683900,66.0000000000,192.6000000000,1.0000000000,1.0000000000,206.0000000000
78.7465831000,77122.0000000000,263.9364944600,12.0000000000,55.0000000000,0.0000000000,1.0000000000,227.0000000000
81.9217632800,52850.0000000000,255.9623284100,17.0000000000,50.0000000000,0.0000000000,1.0000000000,228.0000000000
96.0023197200,47875.0000000000,256.6210875800,13.0000000000,137.0000000000,0.0000000000,2.0000000000,228.0000000000
90.6395376800,73920.0000000000,403.6796168300,29.0000000000,114.0000000000,0.0000000000,3.0000000000,228.0000000000
91.5724206200,30756.0000000000,237.8436457100,28.0000000000,79.0000000000,0.0000000000,1.0000000000,229.0000000000
143.3969282900,94276.0000000000,464.6211398000,75.0000000000,408.0000000000,0.0000000000,2.0000000000,229.0000000000
56.2478093200,52125.0000000000,191.6338707200,9.0000000000,84.0000000000,0.0000000000,1.0000000000,230.0000000000
81.9111777300,22629.0000000000,220.5340786200,7.0000000000,25.0000000000,0.0000000000,2.0000000000,230.0000000000
148.7349747200,82134.0000000000,507.8176096000,33.0000000000,131.0000000000,0.0000000000,3.0000000000,230.0000000000
189.4007312100,164758.0000000000,761.3757039400,25.0000000000,115.0000000000,0.0000000000,1.0000000000,243.0000000000
171.9356578000,63463.0000000000,399.2509515800,2.0000000000,16.0000000000,0.0000000000,1.0000000000,244.0000000000
110.9029235300,64867.0000000000,296.7121960100,0.0000000000,0.0000000000,0.0000000000,1.0000000000,245.0000000000
193.7591392700,132214.0000000000,564.2475002600,39.0000000000,126.0000000000,1.0000000000,1.0000000000,246.0000000000
276.7039600300,80780.0000000000,625.4917233900,3.0000000000,13.3000000000,0.0000000000,1.0000000000,247.0000000000
102.1849738100,71885.0000000000,289.3988030700,2.0000000000,12.2000000000,1.0000000000,1.0000000000,248.0000000000
92.5525794200,45107.0000000000,297.8933441900,0.0000000000,0.0000000000,0.0000000000,1.0000000000,249.0000000000
220.5607226200,175162.0000000000,806.1992826100,125.0000000000,402.3000000000,1.0000000000,1.0000000000,252.0000000000
34.6275137100,9673.0000000000,71.9563951800,0.0000000000,0.0000000000,0.0000000000,1.0000000000,253.0000000000
128.3131258600,94016.0000000000,367.2302492200,16.0000000000,85.2000000000,1.0000000000,1.0000000000,254.0000000000
112.0122463900,55622.0000000000,343.2956982300,0.0000000000,0.0000000000,1.0000000000,1.0000000000,264.0000000000
106.6137484900,65975.0000000000,342.4852063100,0.0000000000,0.0000000000,1.0000000000,2.0000000000,264.0000000000
47.9407316300,17723.0000000000,123.4754186200,0.0000000000,0.0000000000,1.0000000000,3.0000000000,264.0000000000
125.1193778300,73860.0000000000,389.9495756500,18.0000000000,51.0000000000,1.0000000000,1.0000000000,265.0000000000
107.6519679400,77481.0000000000,274.9007103500,0.0000000000,0.0000000000,1.0000000000,2.0000000000,265.0000000000
178.4580446900,88433.0000000000,511.7479193900,8.0000000000,23.2000000000,1.0000000000,3.0000000000,265.0000000000
235.4560393300,150469.0000000000,805.7743697300,76.0000000000,322.0000000000,1.0000000000,1.0000000000,266.0000000000
102.9956831900,71189.0000000000,260.2811939100,2.0000000000,2.2000000000,1.0000000000,2.0000000000,266.0000000000
206.0872836800,86231.0000000000,663.7406606500,13.0000000000,69.5000000000,1.0000000000,1.0000000000,267.0000000000
55.2912166500,15949.0000000000,130.0747574200,1.0000000000,5.5000000000,1.0000000000,2.0000000000,267.0000000000
60.2861042200,10522.0000000000,134.6070977900,0.0000000000,0.0000000000,0.0000000000,1.0000000000,268.0000000000
95.4177726500,48685.0000000000,229.8492573900,7.0000000000,14.5000000000,0.0000000000,2.0000000000,268.0000000000
99.9761675400,80968.0000000000,328.7060590400,3.0000000000,2.1000000000,0.0000000000,3.0000000000,268.0000000000
84.0576233700,14781.0000000000,181.7743119000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,269.0000000000
136.0629451900,74573.0000000000,397.1846728700,25.0000000000,119.9000000000,1.0000000000,2.0000000000,269.0000000000
80.8433968000,22372.0000000000,174.5238185800,3.0000000000,12.1000000000,1.0000000000,3.0000000000,269.0000000000
105.8675928600,51412.0000000000,329.1211823600,39.0000000000,284.1000000000,1.0000000000,4.0000000000,269.0000000000
47.3398444100,19575.0000000000,126.5027210500,15.0000000000,50.0000000000,0.0000000000,1.0000000000,280.0000000000
114.2734712000,102216.0000000000,524.2983164800,18.0000000000,56.0000000000,0.0000000000,2.0000000000,280.0000000000
219.2233367900,146408.0000000000,797.0085839600,28.0000000000,89.0000000000,0.0000000000,1.0000000000,281.0000000000
72.6056338300,48616.0000000000,203.6518811700,3.0000000000,3.0000000000,0.0000000000,1.0000000000,282.0000000000
70.0583966400,41461.0000000000,174.9683466400,0.0000000000,0.0000000000,0.0000000000,2.0000000000,282.0000000000
237.0701169100,142903.0000000000,822.8960352500,19.0000000000,91.0000000000,1.0000000000,1.0000000000,283.0000000000
104.1992676900,58032.0000000000,333.4242064800,7.0000000000,12.5000000000,0.0000000000,1.0000000000,284.0000000000
68.9741662600,82510.0000000000,241.2659702300,0.0000000000,0.0000000000,0.0000000000,1.0000000000,286.0000000000
80.5486292600,64175.0000000000,248.9920618700,6.0000000000,86.6000000000,1.0000000000,1.0000000000,287.0000000000
176.9231690100,108931.0000000000,754.8043197400,36.0000000000,160.8000000000,1.0000000000,1.0000000000,290.0000000000
106.0280088000,76334.0000000000,364.2704799400,29.0000000000,83.1000000000,1.0000000000,2.0000000000,290.0000000000
197.5234536000,101193.0000000000,568.6636755900,42.0000000000,178.2000000000,1.0000000000,1.0000000000,297.0000000000
137.6403659700,90114.0000000000,418.4370097400,55.0000000000,128.5000000000,1.0000000000,2.0000000000,297.0000000000
268.3492479000,98925.0000000000,731.6390821600,39.0000000000,252.9000000000,1.0000000000,1.0000000000,298.0000000000
190.0075382100,104843.0000000000,704.5424737500,92.0000000000,407.2000000000,1.0000000000,1.0000000000,299.0000000000
188.6776781500,101735.0000000000,598.9978583200,81.0000000000,313.9000000000,1.0000000000,2.0000000000,299.0000000000
125.3590356000,78862.0000000000,408.3412685700,27.0000000000,48.5000000000,0.0000000000,1.0000000000,997.0000000000
46.4801553500,17931.0000000000,120.4734574500,0.0000000000,0.0000000000,1.0000000000,1.0000000000,998.0000000000
55.3795721600,14593.0000000000,132.9790736300,5.0000000000,7.9000000000,1.0000000000,2.0000000000,998.0000000000
90.3100543400,57933.0000000000,252.7464704100,9.0000000000,15.1000000000,0.0000000000,1.0000000000,999.0000000000
